2026/2/23,16:54:51,29.84,62,21.77
2026/2/23,16:57:12,29.84,62,21.77
2026/2/23,17:15:43,29.28,65,21.77
2026/2/23,17:20:44,29.28,65,21.77
2026/2/23,17:25:44,29.28,65,21.77
2026/2/23,17:30:44,29.02,65,21.77
2026/2/23,17:35:44,29.02,65,22.29
2026/2/23,17:40:45,29.02,65,22.29
2026/2/23,17:45:45,27.59,63,22.29
2026/2/23,17:50:45,27.59,63,22.29
2026/2/23,17:55:46,27.59,63,22.29
2026/2/23,18:0:46,27.82,63,22.29
2026/2/23,18:5:46,27.82,63,22.29
2026/2/23,18:10:46,27.78,64,22.29
2026/2/23,18:15:47,27.78,64,22.29
2026/2/23,18:20:47,27.96,58,22.29
2026/2/23,18:25:47,27.96,58,22.29
2026/2/23,18:30:48,27.96,58,22.89
2026/2/23,18:35:48,27.97,58,22.89
2026/2/23,18:40:48,27.97,58,22.89
2026/2/23,18:45:48,27.32,61,22.89
2026/2/23,18:50:49,27.32,61,22.89
2026/2/23,18:55:49,27.32,61,22.89
2026/2/23,19:0:49,27.32,61,22.89
2026/2/23,19:5:49,27.37,61,22.89
2026/2/23,19:10:49,27.37,61,22.89
2026/2/23,19:15:50,27.32,62,22.89
2026/2/23,19:20:50,27.32,62,22.89
2026/2/23,19:25:50,27.32,62,22.89
2026/2/23,19:30:51,27.39,61,23.35
2026/2/23,19:35:51,27.39,61,23.35
2026/2/23,19:40:51,27.33,62,23.35
2026/2/23,19:45:51,27.33,62,23.35
2026/2/23,19:50:52,27.32,62,23.35
2026/2/23,19:55:52,27.32,62,23.35
2026/2/23,20:0:53,27.32,62,23.35
2026/2/23,20:5:53,27.32,62,23.35
2026/2/23,20:10:53,26.8,64,23.35
2026/2/23,20:15:54,26.8,64,23.35
2026/2/23,20:20:54,26.61,68,21.17
2026/2/23,20:25:54,26.59,68,21.17
2026/2/23,20:30:54,26.59,68,21.52
2026/2/23,20:35:55,26.59,68,21.52
2026/2/23,20:40:55,26.93,68,21.52
2026/2/23,20:45:55,26.93,68,21.52
